result,question_id,question,A,B,C,D,answer,correct,model_name
A,201,"Hydrochloric acid is added to a beaker containing a piece of zinc. As a result, zinc chloride is formed and hydrogen gas is released. This is an example of",a chemical reaction,a physical change,photosynthesis,evaporation,A,True,X
A,202,Which part of a plant produces the seeds?,flower,leaves,stem,roots,A,True,X
A,203,Which of the following is found in all living organisms?,cell,organ,organ system,tissue,A,True,X
B,204,What is the role of decomposers in a food chain?,They consume other organisms.,They break down dead organic matter.,They use the Sun's energy to make food.,They convert inorganic matter into organic matter.,B,True,X
A,205,Copernicus changed the way people viewed the solar system by,claiming Earth is in orbit about the Sun.,"inventing, then improving, the telescope.",writing the theory of the infinite universe.,showing planetary orbits are elliptical.,A,True,X
B,206,Which part of the electromagnetic spectrum can humans sense without using equipment or technology?,radio waves,visible light,microwaves,X-rays,B,True,X
D,209,Which of these will best separate a saltwater solution?,using a paper filtering system,using chromatography,allowing the salt to settle,allowing the water to evaporate,D,True,X
B,210,"Mrs. Henderson's class has five small, covered boxes. One contains perfume; another contains dried onions. There is also a box of pine needles, a box of lemon pieces, and a box with a paper towel wet with vanilla flavoring. Which should they do to get the best information about what is in each box?",Shake the boxes.,Smell the boxes.,Listen to the boxes.,Weigh the boxes.,B,True,X
A,211,Which features are physical properties of an iron nail?,"conducts heat, magnetic, solid","conducts electricity, magnetic, rusts","conducts sound, insulates, non-magnetic","dissolves, conducts heat, non-magnetic",A,True,X
A,212,Which item would a magnet attract?,iron nail,wool cloth,wooden stick,glass marble,A,True,X
C,213,Which human activity is most harmful to the natural environment?,swimming in a lake,riding a bicycle,cutting down a rain forest,using solar energy,C,True,X
A,214,"The process of digestion breaks down proteins into smaller molecules that are used to rebuild other proteins. During digestion, proteins undergo",cell division.,nuclear reactions.,natural selection.,chemical changes.,D,False,X
A,215,"Blood is composed of different cell types that transport nutrients and wastes throughout the body. Because of this, blood is classified as",a tissue.,an organ.,a system.,an organism.,A,True,X
A,216,What should a student do when a glass beaker shatters during a laboratory experiment?,Notify the teacher.,Sweep the pieces into a pile.,Pick up the pieces and throw them away.,Leave it until the experiment is complete.,A,True,X
A,217,An astronomical unit (AU) refers to the distance between,Earth and the Sun.,the Moon and the Sun.,Earth and the Moon.,the Sun and the nearest star.,A,True,X
B,218,An organ pipe produces a musical note same number of nitrogen gas molecules. with a wavelength of 2.72 m. What is the frequency of this note if the speed of sound is 348 m/s?,85.7 Hz,128 Hz,260 Hz,466 Hz,B,True,X
B,219,Which of the following allows the planets to stay in orbit?,the Moon's gravity,the Sun's gravity,magnetism,rotation,B,True,X
D,220,Which of these involves the formation of a new chemical substance?,evaporation of gasoline,mixing salt and pepper,dissolving sugar in tea,rusting of an iron chain,D,True,X
A,224,A student is playing with a small toy boat on a pond. The student throws a rock in the pond. This creates waves that move the boat toward the shore. The boat moves toward the shore because the waves transfer,energy.,heat.,motion.,water.,A,True,X
B,225,"A geologist finds a layer of shale near the surface from a certain time period. Nearby, the geologist finds the same layer of shale, but it is deeper underground than the first layer. What might have caused the difference in the depth of the shale layer?",a meteorite,a fault,ancient fossils,animal life,B,True,X
B,226,The pull of gravity on Earth is caused by,air pressure.,the mass of Earth.,volcanoes erupting.,Earth's orbit around the Sun.,B,True,X
C,227,In which type of rock are fossils generally found?,igneous,metamorphic,sedimentary,volcanic,C,True,X
A,228,Structural geologists study rock formations to determine the type of environment in which the rocks formed and the events that shaped the rocks. Paleontologists study fossils found in rock formations. Scientists in both these fields have a common interest in discovering the,history and processes of Earth.,elements that make up the crust.,types of minerals that make up sediments.,relationships between Earth and other planets.,A,True,X
A,229,A simple machine that helps move a flag up a flagpole is,a bar magnet,an inclined plane,a pulley,a lever,C,False,X
C,230,Which cellular structure allows nutrients to pass into cells?,mitochondrion,nucleus,membrane,chloroplast,C,True,X
C,231,An example of a renewable resource is,oil.,coal.,wood.,natural gas.,C,True,X
A,232,Minerals are formed by which process?,magma cooling,fault lines moving,metamorphosis,sedimentation,A,True,X
B,233,"Which of these best defines the term ""pollutant""?",anything humans add to the atmosphere and oceans,any substance that is harmful to the environment,any substance that is a waste product of industry,a substance that does not break down over time,B,True,X
C,234,The periodic table of the elements is systematically organized according to the,rate at which the elements chemically react.,hardness of the elements.,structure of the atoms of the elements.,radioactivity of the atoms of the elements.,C,True,X
A,235,Which human body system produces the hormones that regulate growth?,skeletal,digestive,circulatory,endocrine,D,False,X
A,236,Repeated exposure to extremely loud sounds can reduce hearing ability by direct damage to which structures?,the sensory neurons in the ears,interneurons between the ears and the brain,the sound-processing center in the brain,motor neurons applying commands from the brain to the ears,A,True,X
B,237,What does a mirror do to light that causes objects to appear backwards?,refracts,reflects,absorbs,blocks,B,True,X
A,238,The formation of the mineral halite is most likely to occur by which process?,the evaporation of seawater,the hardening of lava in seawater,the cementing together of sediment particles,the slow crystallization of magma deep in the crust,A,True,X
